number,formid,form.section_1_farmer_identification.community,form.section_1_farmer_identification.first_name,form.section_1_farmer_identification.last_name,form.section_1_farmer_identification.gender,form.section_1_farmer_identification.date_of_birth,form.section_1_farmer_identification.national_id,form.section_1_farmer_identification.phone_number,form.section_1_farmer_identification.farmer_photograph,form.section_2_household_information.household_size,form.section_2_household_information.primary_occupation,form.section_2_household_information.farming_experience_years,form.section_3_farm_information.farm_ownership,form.section_3_farm_information.number_of_farm_plots,form.section_3_farm_information.primary_or_main_irrigation_source.choice,form.section_3_farm_information.primary_or_main_irrigation_source.specify_other,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.choice,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_groundnuts_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_maize_hectares,form.section_4_crops_cultivated.crops_cultivated_and_areas_hectares.area_under_rice_hectares,form.section_5_livestock.livestock_and_number_kept_integer.choice,form.section_5_livestock.livestock_and_number_kept_integer.number_of_goats,form.section_5_livestock.livestock_and_number_kept_integer.number_of_rabbits,form.section_6_farm_location.farm_gps_location,form.section_7_consent.farmer_accepts_or_decline_to_participate_in_the_programme.choice,form.case.@case_id,completed_time,started_time,username,received_on,form_link,hq_user,gps_valid
525,3451e3b4-e1f4-4da1-aeeb-398db0ae8faf,community_01,Deborah,Sani,male,1979-02-06,56669714072.0,08032456351,https://www.commcarehq.org/photos/farmer_525.jpg,11,crop_farming,5,owned,3,rain-fed,---,rice maize,---,1.7,3.2,goats rabbits,16,24,10.4038628 7.4398335 0.0 20.0,yes,cbc2f446-3175-40db-85d8-d7d55509496c,2026-02-23 00:04:00,2026-02-23,tester,2026-02-23 00:04:12,https://www.commcarehq.org/form/3451e3b4-e1f4-4da1-aeeb-398db0ae8faf,tester,True
526,4db782f0-53a0-42d6-b81d-015313bf1dad,community_06,Grace,Ogunleye,male,1990-12-02,71383237855.0,08060333553,https://www.commcarehq.org/photos/farmer_526.jpg,2,livestock_farming,2,family_land,3,rain-fed,---,maize,---,0.7,---,goats,21,---,10.5062837 7.3512841 0.0 20.0,no,4e351326-738f-4799-8cd7-1706f80043b8,2026-03-05 00:04:00,2026-03-05,tester,2026-03-05 00:04:10,https://www.commcarehq.org/form/4db782f0-53a0-42d6-b81d-015313bf1dad,tester,True
527,633e5503-a611-4895-87c4-4d38e52eca99,community_04,Joseph,Abdullahi,male,1996-07-24,92054676347.0,08094962589,https://www.commcarehq.org/photos/farmer_527.jpg,11,livestock_farming,1,owned,3,rain-fed,---,groundnuts,1.2,---,---,---,---,---,10.2537284 7.542886 0.0 20.0,yes,88c8c600-7cae-49cd-96bd-75df777380b2,2026-03-09 00:07:00,2026-03-09,tester,2026-03-09 00:07:13,https://www.commcarehq.org/form/633e5503-a611-4895-87c4-4d38e52eca99,tester,True
528,d3ff8c49-c032-404c-92fb-3a9180736237,community_05,Samuel,James,male,1977-02-01,,08095504279,https://www.commcarehq.org/photos/farmer_528.jpg,7,crop_farming,6,owned,3,rain-fed,---,rice maize groundnuts,2.7,5.0,1.7,---,---,---,10.5325731 7.3314605 0.0 20.0,yes,9e97b34f-fbd9-444a-88e3-55001a2ac191,2026-04-27 00:03:00,2026-04-27,tester,2026-04-27 00:03:20,https://www.commcarehq.org/form/d3ff8c49-c032-404c-92fb-3a9180736237,tester,True
529,df3fb004-cb58-471b-a772-42467c7ddb47,community_01,James,Michael,male,1979-10-03,,08097788770,https://www.commcarehq.org/photos/farmer_529.jpg,5,mixed_farming,29,owned,2,rain-fed,---,rice maize groundnuts,2.3,1.8,1.5,rabbits,---,18,10.2377172 7.4869841 0.0 20.0,yes,5430651a-93a4-440b-833b-60b12e5ccde1,2026-06-09 00:02:00,2026-06-09,tester,2026-06-09 00:02:16,https://www.commcarehq.org/form/df3fb004-cb58-471b-a772-42467c7ddb47,tester,True
530,aa555ff5-41b7-4964-967b-1582e8334264,community_02,Joy,Ojo,female,1960-10-11,57816902819.0,08021026188,https://www.commcarehq.org/photos/farmer_530.jpg,2,crop_farming,18,family_land,6,borehole,---,rice maize groundnuts,1.9,1.5,1.8,---,---,---,10.4572986 7.2237989 0.0 20.0,yes,da2f9252-245d-4fe0-9e84-f2853e45956f,2026-06-07 00:04:00,2026-06-07,tester,2026-06-07 00:04:08,https://www.commcarehq.org/form/aa555ff5-41b7-4964-967b-1582e8334264,tester,True
531,573567e2-1d9c-404b-94c1-769df3efd5a1,community_07,Elizabeth,Peter,male,1989-06-26,86172871536.0,08047985210,https://www.commcarehq.org/photos/farmer_531.jpg,6,crop_farming,1,owned,3,rain-fed,---,groundnuts rice,1.8,---,2.7,goats,11,---,10.3726485 7.4750169 0.0 20.0,yes,f2dcdb4b-a92d-4872-9cdb-a85415d86af5,2026-05-02 00:02:00,2026-05-02,tester,2026-05-02 00:02:09,https://www.commcarehq.org/form/573567e2-1d9c-404b-94c1-769df3efd5a1,tester,True
532,a1bf4173-7e48-435e-87a3-afdc4c021694,community_04,Samuel,Ogunleye,female,2006-06-19,43468199801.0,08038703450,https://www.commcarehq.org/photos/farmer_532.jpg,5,crop_farming,1,owned,1,borehole,---,groundnuts,2.5,---,---,goats rabbits,16,4,10.4617394 7.2686661 0.0 20.0,yes,017febf2-1036-4d3f-b486-b3b6f2ca1b06,2026-02-22 00:06:00,2026-02-22,tester,2026-02-22 00:06:17,https://www.commcarehq.org/form/a1bf4173-7e48-435e-87a3-afdc4c021694,tester,True
533,36f3bd47-0dc8-4be9-a743-d22eaa0dd7a7,community_04,Suleiman,Yakubu,male,2001-10-27,10515182601.0,08082872414,https://www.commcarehq.org/photos/farmer_533.jpg,7,livestock_farming,4,family_land,2,rain-fed,---,groundnuts,2.6,---,---,---,---,---,10.5146074 7.5609566 0.0 20.0,yes,9b58683f-3700-4c47-96c9-f0e76b4c12fd,2026-02-06 00:02:00,2026-02-06,tester,2026-02-06 00:02:17,https://www.commcarehq.org/form/36f3bd47-0dc8-4be9-a743-d22eaa0dd7a7,tester,True
534,545af338-6a67-452f-9513-38c7500f08f2,community_01,Ibrahim,Isa,male,1985-04-30,,08096027488,https://www.commcarehq.org/photos/farmer_534.jpg,6,crop_farming,21,family_land,4,rain-fed,---,rice,---,---,2.1,---,---,---,10.2096426 7.5882698 0.0 20.0,yes,df792a71-75b7-4190-b3e7-1be5545c44ac,2026-03-30 00:08:00,2026-03-30,tester,2026-03-30 00:08:16,https://www.commcarehq.org/form/545af338-6a67-452f-9513-38c7500f08f2,tester,True
535,78b455ed-f6b8-48b2-978d-4d5755b448d1,community_04,Daniel,James,male,2006-09-15,,08039581489,https://www.commcarehq.org/photos/farmer_535.jpg,8,mixed_farming,2,owned,3,river_stream,---,rice maize groundnuts,1.0,2.8,0.7,goats,18,---,10.3824746 7.2094542 0.0 20.0,yes,d35ed9fe-f8ea-4fb0-980b-3dcd4d2aeeaf,2026-04-23 00:08:00,2026-04-23,tester,2026-04-23 00:08:07,https://www.commcarehq.org/form/78b455ed-f6b8-48b2-978d-4d5755b448d1,tester,True
536,f6812aaf-516b-4730-ba09-1944f1de6216,community_07,Mary,Okafor,male,1987-05-06,15586788407.0,08005758893,https://www.commcarehq.org/photos/farmer_536.jpg,8,mixed_farming,8,owned,2,rain-fed,---,rice,---,---,1.1,goats,18,---,10.3097284 7.2749967 0.0 20.0,yes,32b26a84-42c5-4971-b034-9176f10c2e46,2026-01-03 00:03:00,2026-01-03,tester,2026-01-03 00:03:07,https://www.commcarehq.org/form/f6812aaf-516b-4730-ba09-1944f1de6216,tester,True
537,f174ded8-2484-43c0-b399-78dcfa4d3a0e,community_07,John,Balogun,female,1984-07-04,11412414932.0,08087005377,https://www.commcarehq.org/photos/farmer_537.jpg,6,mixed_farming,1,owned,3,rain-fed,---,groundnuts,1.1,---,---,goats rabbits,2,7,10.3537932 7.5011874 0.0 20.0,yes,c23036db-dd96-4b5b-9824-00a261bf19fc,2026-03-02 00:03:00,2026-03-02,tester,2026-03-02 00:03:20,https://www.commcarehq.org/form/f174ded8-2484-43c0-b399-78dcfa4d3a0e,tester,True
538,4be16f50-2494-4157-84c4-0ac6d7bf08a1,community_02,Samuel,Balogun,female,1976-11-20,,08063573999,https://www.commcarehq.org/photos/farmer_538.jpg,7,crop_farming,3,owned,3,other,Spring Water,rice groundnuts,1.1,---,0.9,goats,9,---,10.2329928 7.2384485 0.0 20.0,yes,466238eb-1e73-4f4c-bbbd-e420b8558cd2,2026-03-23 00:02:00,2026-03-23,tester,2026-03-23 00:02:16,https://www.commcarehq.org/form/4be16f50-2494-4157-84c4-0ac6d7bf08a1,tester,True
539,bb6a47ec-e559-4425-85fb-7d8b7490cfe7,community_05,Ibrahim,Yakubu,male,1982-04-27,,08012803324,https://www.commcarehq.org/photos/farmer_539.jpg,3,mixed_farming,20,owned,3,rain-fed,---,maize rice,---,1.4,0.7,goats,6,---,10.457585 7.2064128 0.0 20.0,yes,d58c33c2-2602-408e-ac40-336650ceee27,2026-05-19 00:02:00,2026-05-19,tester,2026-05-19 00:02:09,https://www.commcarehq.org/form/bb6a47ec-e559-4425-85fb-7d8b7490cfe7,tester,True
540,6fe421db-3b40-4d1b-90be-ebf4d6369c9e,community_07,Binta,Garba,male,1982-07-12,65365061563.0,08015502312,https://www.commcarehq.org/photos/farmer_540.jpg,5,crop_farming,8,owned,5,rain-fed,---,groundnuts rice maize,0.8,1.2,2.0,goats,7,---,10.5898211 7.3383806 0.0 20.0,no,b639e848-b58a-4760-9f1b-3418cdc2c3a8,2026-06-20 00:08:00,2026-06-20,tester,2026-06-20 00:08:17,https://www.commcarehq.org/form/6fe421db-3b40-4d1b-90be-ebf4d6369c9e,tester,True
541,ea2f18ed-34dd-4ba9-9142-6b9cfb9acaff,community_01,Grace,Musa,male,2008-02-21,14396034898.0,08005540771,https://www.commcarehq.org/photos/farmer_541.jpg,4,mixed_farming,1,owned,5,dam_reservoir,---,maize groundnuts rice,2.3,3.1,1.6,---,---,---,10.4922053 7.5894215 0.0 20.0,yes,588537b5-235d-4751-922e-0a80512b65b0,2026-04-08 00:07:00,2026-04-08,tester,2026-04-08 00:07:06,https://www.commcarehq.org/form/ea2f18ed-34dd-4ba9-9142-6b9cfb9acaff,tester,True
542,ced08778-159a-4623-814b-5f6eba0b6b39,community_07,Musa,Ojo,male,2000-12-05,,08082806304,https://www.commcarehq.org/photos/farmer_542.jpg,8,livestock_farming,5,owned,1,rain-fed,---,groundnuts maize,3.0,3.7,---,goats,12,---,10.4997813 7.250487 0.0 20.0,yes,708a1a91-7077-44a0-b693-c57a7eb9ee59,2026-02-16 00:05:00,2026-02-16,tester,2026-02-16 00:05:19,https://www.commcarehq.org/form/ced08778-159a-4623-814b-5f6eba0b6b39,tester,True
543,ffc5626d-9524-4576-9485-bc16a177d511,community_07,Esther,David,female,1980-01-15,,08079820988,https://www.commcarehq.org/photos/farmer_543.jpg,6,livestock_farming,9,family_land,2,river_stream,---,groundnuts rice maize,1.4,0.7,3.9,goats,18,---,10.4262501 7.5973687 0.0 20.0,yes,5d6966e6-38bb-4387-b7a4-88fb3cae90c3,2026-02-02 00:03:00,2026-02-02,tester,2026-02-02 00:03:15,https://www.commcarehq.org/form/ffc5626d-9524-4576-9485-bc16a177d511,tester,True
544,b345e06c-0bd9-4306-8610-b8941115d5ea,community_06,Paul,Daniel,male,1989-12-29,26954272945.0,08013686712,https://www.commcarehq.org/photos/farmer_544.jpg,2,crop_farming,10,family_land,1,rain-fed,---,rice maize groundnuts,1.9,1.0,1.0,goats,23,---,10.3226892 7.3349453 0.0 20.0,yes,ea24aed4-e6fc-4bef-9a78-a1467800de78,2026-03-15 00:06:00,2026-03-15,tester,2026-03-15 00:06:10,https://www.commcarehq.org/form/b345e06c-0bd9-4306-8610-b8941115d5ea,tester,True
545,563574f2-4b9a-4745-b595-896416cf2d3c,community_05,Esther,Yakubu,male,1968-07-04,,08048088911,https://www.commcarehq.org/photos/farmer_545.jpg,5,crop_farming,12,owned,5,rain-fed,---,rice maize groundnuts,2.6,1.9,1.0,---,---,---,10.4020946 7.2211486 0.0 20.0,yes,44c27cc3-c7b7-44eb-afe3-6f424d4459ec,2026-02-11 00:02:00,2026-02-11,tester,2026-02-11 00:02:11,https://www.commcarehq.org/form/563574f2-4b9a-4745-b595-896416cf2d3c,tester,True
546,aa368025-49e7-4687-b94a-99f076aa1012,community_01,Samuel,Sani,female,1986-05-31,15480474821.0,08092941167,https://www.commcarehq.org/photos/farmer_546.jpg,7,mixed_farming,2,family_land,1,borehole,---,maize,---,4.6,---,---,---,---,10.2203714 7.4029307 0.0 20.0,yes,3ea834bb-b52e-4b98-994c-46ac6036ccee,2026-06-15 00:04:00,2026-06-15,tester,2026-06-15 00:04:19,https://www.commcarehq.org/form/aa368025-49e7-4687-b94a-99f076aa1012,tester,True
547,bebda74d-ffbb-41bd-92d7-1c2d66f80549,community_06,Ibrahim,Tanko,male,2007-05-28,54828933799.0,08025709568,https://www.commcarehq.org/photos/farmer_547.jpg,7,mixed_farming,1,family_land,5,rain-fed,---,rice,---,---,2.9,goats,21,---,10.5339158 7.2519114 0.0 20.0,yes,fee3c156-77aa-4629-8579-b8266c6e4992,2026-06-02 00:08:00,2026-06-02,tester,2026-06-02 00:08:17,https://www.commcarehq.org/form/bebda74d-ffbb-41bd-92d7-1c2d66f80549,tester,True
548,870f0cd1-49ed-4eb6-aa4a-1097aa998713,community_02,Ruth,Lawal,male,1991-03-16,69606873234.0,08051912075,https://www.commcarehq.org/photos/farmer_548.jpg,5,crop_farming,6,family_land,3,rain-fed,---,groundnuts,2.7,---,---,rabbits,---,9,10.3562812 7.2152206 0.0 20.0,yes,537553ff-dbbe-4b40-aa4d-319ae7dbf63d,2026-06-04 00:07:00,2026-06-04,tester,2026-06-04 00:07:17,https://www.commcarehq.org/form/870f0cd1-49ed-4eb6-aa4a-1097aa998713,tester,True
549,00b9f3c7-59ae-44c7-a72f-d810d386b8f2,community_04,Deborah,Ali,male,1985-12-24,,08063462893,https://www.commcarehq.org/photos/farmer_549.jpg,8,crop_farming,2,family_land,2,river_stream,---,groundnuts rice,1.7,---,0.5,goats,3,---,10.5819965 7.4595111 0.0 20.0,yes,163bbf1f-fe47-4b42-915a-d9f9f0d6a395,2026-02-10 00:04:00,2026-02-10,tester,2026-02-10 00:04:11,https://www.commcarehq.org/form/00b9f3c7-59ae-44c7-a72f-d810d386b8f2,tester,True
550,ae6585e4-59d8-4911-9cd4-87fff2d6e8a4,community_05,Yusuf,James,female,1967-05-07,52328102967.0,08052097688,https://www.commcarehq.org/photos/farmer_550.jpg,9,crop_farming,5,owned,3,river_stream,---,maize rice groundnuts,2.3,2.0,2.8,---,---,---,10.293069 7.4199802 0.0 20.0,yes,b05be806-c2b7-4ca5-b8f0-0986f480d544,2026-03-25 00:02:00,2026-03-25,tester,2026-03-25 00:02:08,https://www.commcarehq.org/form/ae6585e4-59d8-4911-9cd4-87fff2d6e8a4,tester,True
551,c6b5a71c-20fb-4532-9ed6-dd4a5d751dbc,community_06,James,Philip,male,1993-10-31,90781397642.0,08078145378,https://www.commcarehq.org/photos/farmer_551.jpg,12,livestock_farming,6,family_land,1,rain-fed,---,maize groundnuts rice,1.4,1.4,3.5,---,---,---,10.5248393 7.3847439 0.0 20.0,yes,7bdc1a5d-85c8-4409-bd66-82d8f9ca02e3,2026-04-09 00:02:00,2026-04-09,tester,2026-04-09 00:02:09,https://www.commcarehq.org/form/c6b5a71c-20fb-4532-9ed6-dd4a5d751dbc,tester,True
552,2892f4f9-5896-49d9-a869-49465e35a095,community_02,Musa,Usman,female,1971-02-22,72116290872.0,08013402843,https://www.commcarehq.org/photos/farmer_552.jpg,5,livestock_farming,15,owned,4,rain-fed,---,groundnuts rice,2.4,---,3.6,goats,4,---,10.4013019 7.329727 0.0 20.0,yes,7cb38495-4c84-4807-8be2-6bb5fac0efbb,2026-02-16 00:05:00,2026-02-16,tester,2026-02-16 00:05:06,https://www.commcarehq.org/form/2892f4f9-5896-49d9-a869-49465e35a095,tester,True
553,70225738-c223-4452-a87c-fcc3f59cdd60,community_01,Rebecca,Johnson,male,1967-12-22,,08081530420,https://www.commcarehq.org/photos/farmer_553.jpg,8,crop_farming,5,leased,3,rain-fed,---,rice maize groundnuts,1.5,1.3,2.6,goats,18,---,10.4015799 7.3900734 0.0 20.0,yes,bfed0eb1-b356-477e-8c78-d0068230b99e,2026-06-21 00:07:00,2026-06-21,tester,2026-06-21 00:07:05,https://www.commcarehq.org/form/70225738-c223-4452-a87c-fcc3f59cdd60,tester,True
554,1cf90375-2bbf-4bd8-8d5c-ded9d5a18542,community_06,Esther,Philip,female,1959-04-19,45370417368.0,08007696124,https://www.commcarehq.org/photos/farmer_554.jpg,3,livestock_farming,28,leased,1,borehole,---,maize rice groundnuts,0.6,3.3,2.6,---,---,---,10.3377048 7.2635141 0.0 20.0,yes,332dcaf1-662e-438d-99fb-b825a164f916,2026-05-31 00:07:00,2026-05-31,tester,2026-05-31 00:07:05,https://www.commcarehq.org/form/1cf90375-2bbf-4bd8-8d5c-ded9d5a18542,tester,True
555,23d9dfa7-77b6-4cbe-b785-bd60fb96f242,community_02,Paul,Yakubu,male,1969-03-30,,08071717164,https://www.commcarehq.org/photos/farmer_555.jpg,3,mixed_farming,32,owned,1,rain-fed,---,groundnuts,2.4,---,---,goats,19,---,10.31558 7.5348599 0.0 20.0,yes,5f771894-efc8-438c-a989-b56d1f3dd14d,2026-05-22 00:03:00,2026-05-22,tester,2026-05-22 00:03:06,https://www.commcarehq.org/form/23d9dfa7-77b6-4cbe-b785-bd60fb96f242,tester,True
556,844bc37b-0217-43dd-8d5c-1dc2dd9414ac,community_03,Mary,Haruna,male,1982-09-16,,08010149550,https://www.commcarehq.org/photos/farmer_556.jpg,5,crop_farming,3,owned,4,rain-fed,---,groundnuts,2.5,---,---,goats,8,---,10.511413 7.5552689 0.0 20.0,yes,2d692ba7-1961-4668-b05d-edd6865dcec9,2026-01-09 00:04:00,2026-01-09,tester,2026-01-09 00:04:11,https://www.commcarehq.org/form/844bc37b-0217-43dd-8d5c-1dc2dd9414ac,tester,True
557,22e1f492-0b07-4918-bebe-d0f0a2765e4d,community_02,David,Haruna,male,1991-12-30,26547699561.0,08084574255,https://www.commcarehq.org/photos/farmer_557.jpg,2,crop_farming,2,owned,2,rain-fed,---,maize groundnuts rice,2.3,1.8,2.1,goats rabbits,17,7,10.2640261 7.4290368 0.0 20.0,yes,d58b1083-248b-4b82-bc04-b7dc7f69f913,2026-02-26 00:04:00,2026-02-26,tester,2026-02-26 00:04:06,https://www.commcarehq.org/form/22e1f492-0b07-4918-bebe-d0f0a2765e4d,tester,True
558,239537fe-e6ba-4d1e-a73d-9308cb19435d,community_02,Emmanuel,Okafor,female,2001-12-05,55723713541.0,08084163246,https://www.commcarehq.org/photos/farmer_558.jpg,9,mixed_farming,5,owned,1,rain-fed,---,maize groundnuts,0.9,3.8,---,---,---,---,10.4260179 7.5369619 0.0 20.0,yes,47bd0d92-f96e-4bef-a055-64c7c3b46a20,2026-01-12 00:03:00,2026-01-12,tester,2026-01-12 00:03:10,https://www.commcarehq.org/form/239537fe-e6ba-4d1e-a73d-9308cb19435d,tester,True
559,d69c1fda-f9c1-4311-9b8d-31c9dda2c7d4,community_06,Naomi,Samuel,female,1958-09-04,84127046998.0,08050283120,https://www.commcarehq.org/photos/farmer_559.jpg,10,mixed_farming,42,family_land,2,rain-fed,---,rice groundnuts maize,1.2,5.3,2.9,goats,14,---,10.5252638 7.5234144 0.0 20.0,yes,344410ae-6024-405d-8d2a-4305fb319ad6,2026-02-23 00:06:00,2026-02-23,tester,2026-02-23 00:06:11,https://www.commcarehq.org/form/d69c1fda-f9c1-4311-9b8d-31c9dda2c7d4,tester,True
560,0e056250-e06c-4b34-91a1-4593d0be0329,community_05,Peter,Daniel,female,1992-12-20,,08051805792,https://www.commcarehq.org/photos/farmer_560.jpg,4,mixed_farming,3,owned,5,borehole,---,maize groundnuts,2.9,1.2,---,goats,17,---,10.2301016 7.3839143 0.0 20.0,yes,ab653070-b382-4de6-bb44-398b2b034e95,2026-03-13 00:03:00,2026-03-13,tester,2026-03-13 00:03:07,https://www.commcarehq.org/form/0e056250-e06c-4b34-91a1-4593d0be0329,tester,True
561,2c6fabfb-e881-4d75-bc37-d0fa782da72c,community_07,Joseph,Isa,female,1974-09-28,54874405508.0,08067514703,https://www.commcarehq.org/photos/farmer_561.jpg,8,livestock_farming,18,owned,1,rain-fed,---,maize rice,---,1.1,3.7,---,---,---,10.3702894 7.3794275 0.0 20.0,yes,1ff6666b-6aeb-43eb-a133-5f8acaeba382,2026-01-07 00:02:00,2026-01-07,tester,2026-01-07 00:02:10,https://www.commcarehq.org/form/2c6fabfb-e881-4d75-bc37-d0fa782da72c,tester,True
562,e857945d-0af4-46bb-abfe-e6d2ddd4e092,community_05,Naomi,Sani,female,1994-02-21,19044748963.0,08032300271,https://www.commcarehq.org/photos/farmer_562.jpg,1,crop_farming,14,owned,3,rain-fed,---,rice groundnuts,1.4,---,3.1,rabbits,---,7,10.4006874 7.2945068 0.0 20.0,yes,8edb333b-cbaa-4f57-91aa-32140d3c9961,2026-06-10 00:08:00,2026-06-10,tester,2026-06-10 00:08:15,https://www.commcarehq.org/form/e857945d-0af4-46bb-abfe-e6d2ddd4e092,tester,True
563,6bfcca97-8a73-4fd1-ac92-d81ae2172a09,community_05,Mercy,Abdullahi,male,1996-02-05,,08040435987,https://www.commcarehq.org/photos/farmer_563.jpg,7,crop_farming,6,leased,5,borehole,---,maize rice groundnuts,0.6,3.6,2.7,---,---,---,10.4109167 7.2768422 0.0 20.0,yes,6b4edc60-8aa9-44f9-9ed3-6a220ef32ced,2026-02-13 00:08:00,2026-02-13,tester,2026-02-13 00:08:15,https://www.commcarehq.org/form/6bfcca97-8a73-4fd1-ac92-d81ae2172a09,tester,True
564,9d806a84-b374-4d88-bd62-0567fd9c69cb,community_05,Yusuf,Abdullahi,male,1994-06-30,,08024673986,https://www.commcarehq.org/photos/farmer_564.jpg,12,crop_farming,3,owned,4,rain-fed,---,rice maize,---,1.5,3.6,goats,7,---,10.2754812 7.5041916 0.0 20.0,yes,27b5b971-23ee-4edd-a261-cd606005a1f7,2026-06-15 00:02:00,2026-06-15,tester,2026-06-15 00:02:07,https://www.commcarehq.org/form/9d806a84-b374-4d88-bd62-0567fd9c69cb,tester,True
565,401b7510-4260-413d-bb5b-96dab51e9d8e,community_06,Rebecca,Abdullahi,male,1964-02-20,92356011239.0,08000741604,https://www.commcarehq.org/photos/farmer_565.jpg,3,crop_farming,4,leased,2,rain-fed,---,maize groundnuts,0.5,1.9,---,goats,25,---,10.4299683 7.2982441 0.0 20.0,yes,6ccf3726-e7d6-4710-8db3-791ed9a0ea2b,2026-05-18 00:06:00,2026-05-18,tester,2026-05-18 00:06:10,https://www.commcarehq.org/form/401b7510-4260-413d-bb5b-96dab51e9d8e,tester,True
566,74ec7160-1aef-466f-90e1-2c1fb14e3ee5,community_01,Musa,Haruna,male,1999-03-17,66035480141.0,08099140349,https://www.commcarehq.org/photos/farmer_566.jpg,8,crop_farming,7,leased,2,borehole,---,maize groundnuts rice,1.9,1.9,1.1,goats,4,---,10.3702443 7.2586453 0.0 20.0,yes,37dd6a3b-90d0-4237-bde0-386171f54d0c,2026-01-29 00:03:00,2026-01-29,tester,2026-01-29 00:03:11,https://www.commcarehq.org/form/74ec7160-1aef-466f-90e1-2c1fb14e3ee5,tester,True
567,866fee7e-c1e3-4f06-ab4b-aa72c112b27f,community_06,Mary,Yusuf,female,1972-02-21,,08092973281,https://www.commcarehq.org/photos/farmer_567.jpg,8,crop_farming,25,owned,2,irrigation_scheme,---,maize,---,5.7,---,goats,10,---,10.2720243 7.5898712 0.0 20.0,yes,06322427-8b40-4355-bb06-22381a99c8fa,2026-04-20 00:08:00,2026-04-20,tester,2026-04-20 00:08:07,https://www.commcarehq.org/form/866fee7e-c1e3-4f06-ab4b-aa72c112b27f,tester,True
568,fca679cf-5f14-4004-8999-688110359170,community_03,Deborah,Johnson,male,1986-05-28,,08046121822,https://www.commcarehq.org/photos/farmer_568.jpg,5,mixed_farming,6,owned,2,rain-fed,---,rice,---,---,3.4,---,---,---,10.5043422 7.2043121 0.0 20.0,yes,1fab176f-f855-4d69-bc21-de1195e72887,2026-03-17 00:08:00,2026-03-17,tester,2026-03-17 00:08:16,https://www.commcarehq.org/form/fca679cf-5f14-4004-8999-688110359170,tester,True
569,444eafd0-dc30-4d79-9b20-028ae06111c0,community_05,Joseph,Haruna,female,1987-06-20,33483208207.0,08014700952,https://www.commcarehq.org/photos/farmer_569.jpg,5,mixed_farming,9,owned,2,rain-fed,---,rice groundnuts maize,2.0,1.8,2.4,goats rabbits,15,33,10.538572 7.4540364 0.0 20.0,yes,19a5dca8-9de7-4993-996f-36795e54b2d9,2026-03-17 00:03:00,2026-03-17,tester,2026-03-17 00:03:19,https://www.commcarehq.org/form/444eafd0-dc30-4d79-9b20-028ae06111c0,tester,True
570,0bd0215b-8617-4edd-afbb-68be0bd508d2,community_04,Elizabeth,Yakubu,male,1995-12-19,,08007893488,https://www.commcarehq.org/photos/farmer_570.jpg,4,crop_farming,9,leased,1,rain-fed,---,groundnuts maize rice,2.8,1.4,2.2,---,---,---,10.2439986 7.5108284 0.0 20.0,yes,e0dbe8bf-cf8d-4f08-8832-e489b137ec79,2026-01-11 00:07:00,2026-01-11,tester,2026-01-11 00:07:19,https://www.commcarehq.org/form/0bd0215b-8617-4edd-afbb-68be0bd508d2,tester,True
571,9385453f-5e59-4a1a-8538-1f9de15e2353,community_05,Joy,Sani,male,1993-01-04,69624034969.0,08008222452,https://www.commcarehq.org/photos/farmer_571.jpg,6,crop_farming,14,owned,3,irrigation_scheme,---,groundnuts rice maize,1.6,5.8,2.2,---,---,---,10.2325129 7.2064579 0.0 20.0,yes,5aa34c10-f018-4f5c-bda5-2f0095070f97,2026-05-11 00:07:00,2026-05-11,tester,2026-05-11 00:07:18,https://www.commcarehq.org/form/9385453f-5e59-4a1a-8538-1f9de15e2353,tester,True
572,431d4d3a-549d-4e18-97bc-3bbf099a837d,community_02,Esther,Lawal,male,1985-12-25,88190937048.0,08043866854,https://www.commcarehq.org/photos/farmer_572.jpg,2,mixed_farming,1,family_land,3,rain-fed,---,rice,---,---,2.1,goats,19,---,10.4800635 7.2310998 0.0 20.0,yes,2340d662-6a9b-4bd5-8d7e-cae81c629e73,2026-06-24 00:07:00,2026-06-24,tester,2026-06-24 00:07:19,https://www.commcarehq.org/form/431d4d3a-549d-4e18-97bc-3bbf099a837d,tester,True
573,3603039b-084f-4c12-851a-9ceb42f72100,community_01,Joseph,Daniel,male,2006-12-13,,08059801857,https://www.commcarehq.org/photos/farmer_573.jpg,10,crop_farming,1,owned,2,borehole,---,maize,---,1.0,---,---,---,---,10.4135574 7.5289434 0.0 20.0,yes,7407d3a1-8631-48f2-9e0e-999510ee4a2b,2026-03-09 00:03:00,2026-03-09,tester,2026-03-09 00:03:17,https://www.commcarehq.org/form/3603039b-084f-4c12-851a-9ceb42f72100,tester,True
574,b28096d6-4dd1-4c69-b9bc-bf5bc096ae9e,community_04,Rebecca,Yusuf,male,1977-07-27,,08028623666,https://www.commcarehq.org/photos/farmer_574.jpg,3,mixed_farming,14,owned,2,rain-fed,---,rice maize,---,1.6,1.8,---,---,---,10.583436 7.3086217 0.0 20.0,yes,0915cfa6-f5b3-4512-8d69-98b2389f0be2,2026-05-12 00:07:00,2026-05-12,tester,2026-05-12 00:07:13,https://www.commcarehq.org/form/b28096d6-4dd1-4c69-b9bc-bf5bc096ae9e,tester,True
